CTY_CD,CTY_NM,TIME_CD,FORN_GB,M_10_CNT,M_15_CNT,M_20_CNT,M_25_CNT,M_30_CNT,M_35_CNT,M_40_CNT,M_45_CNT,M_50_CNT,M_55_CNT,M_60_CNT,M_65_CNT,M_70_CNT,F_10_CNT,F_15_CNT,F_20_CNT,F_25_CNT,F_30_CNT,F_35_CNT,F_40_CNT,F_45_CNT,F_50_CNT,F_55_CNT,F_60_CNT,F_65_CNT,F_70_CNT,ETL_YMD
41271,안산시 상록구,0,F,0.0,3.61,104.93,40.36,47.69,33.06,39.26,32.32,10.4,10.74,15.19,4.54,1.99,1.0,5.4,79.6,27.87,21.81,45.07,29.92,33.13,17.77,12.88,12.18,13.26,1.06,20260301
41271,안산시 상록구,0,F,0.98,9.57,165.58,52.16,60.03,43.43,27.47,25.9,14.42,25.11,12.99,9.3,1.03,0.0,16.36,177.8,64.4,13.83,32.33,24.26,34.07,18.62,13.97,19.01,16.16,2.15,20260305
41271,안산시 상록구,0,F,0.98,14.39,148.07,45.93,67.09,46.24,35.7,19.21,11.51,18.18,16.63,11.93,3.98,0.0,14.07,164.14,61.92,34.76,36.64,18.96,25.66,23.72,6.34,17.07,11.72,2.14,20260304
41271,안산시 상록구,0,F,1.0,12.72,150.0,55.73,69.4,45.78,29.06,26.61,18.47,16.58,14.02,6.24,2.54,1.0,24.91,197.21,59.35,29.03,36.52,35.46,24.22,19.98,12.53,25.91,13.77,4.99,20260307
41271,안산시 상록구,0,F,1.01,10.34,203.12,69.91,59.48,65.84,39.8,47.22,22.03,11.03,10.51,6.56,6.26,1.07,19.15,194.49,67.71,41.55,71.58,35.76,30.52,27.36,11.21,18.98,18.08,3.27,20260308
41271,안산시 상록구,0,F,1.01,10.58,167.71,69.54,75.28,77.62,52.14,34.5,31.88,11.76,20.2,10.6,5.32,4.21,20.22,226.93,87.52,44.68,73.14,42.07,36.4,30.02,24.9,24.53,17.9,5.02,20260318
41271,안산시 상록구,0,F,1.01,10.89,179.92,74.17,78.51,68.57,45.27,34.17,23.09,12.44,22.97,15.6,4.89,1.01,11.48,217.24,86.27,34.52,63.89,35.6,23.11,27.09,18.6,16.14,17.75,4.33,20260310
41271,안산시 상록구,0,F,1.01,11.5,178.46,54.51,74.5,52.7,46.53,32.03,23.57,18.24,18.83,9.76,5.32,3.1,12.83,200.18,83.65,27.49,54.81,38.83,35.79,23.46,28.18,24.28,9.25,2.69,20260314
41271,안산시 상록구,0,F,1.01,16.48,157.5,76.79,101.49,85.47,56.86,50.99,28.82,17.64,14.84,11.68,2.5,0.0,11.3,123.49,56.82,44.54,66.07,40.19,36.22,28.76,22.37,22.55,11.07,1.34,20260302
41271,안산시 상록구,0,F,1.06,24.53,192.28,76.23,82.28,77.45,65.94,38.37,33.47,26.03,15.64,14.46,4.36,5.98,25.89,238.81,96.84,62.3,79.63,45.8,43.07,26.08,16.38,29.93,22.07,6.74,20260321
41271,안산시 상록구,0,F,1.09,15.53,197.53,78.02,112.6,81.36,58.87,39.12,31.15,21.52,22.73,13.6,5.54,4.23,21.88,235.79,102.3,62.82,83.04,46.26,41.2,34.75,12.85,34.5,19.68,5.74,20260322
41271,안산시 상록구,0,F,1.09,24.23,191.51,88.94,103.55,78.1,69.04,26.79,31.06,22.93,32.5,16.32,1.13,3.1,29.18,250.91,89.9,61.28,78.65,65.22,37.67,35.86,20.59,32.17,14.19,4.37,20260324
41271,안산시 상록구,0,F,1.09,26.44,207.33,62.32,93.37,55.5,58.35,36.78,38.79,23.86,28.73,18.0,1.39,3.56,36.08,255.65,99.81,61.18,59.07,54.94,36.98,22.25,19.37,30.41,19.73,8.99,20260325
41271,안산시 상록구,0,F,1.16,27.31,209.5,98.42,83.64,68.55,73.79,38.79,37.53,28.84,27.44,20.79,7.23,3.6,43.68,248.75,109.44,66.82,78.75,73.78,56.83,28.77,11.39,41.46,15.69,5.82,20260329
41271,안산시 상록구,0,F,1.16,36.18,227.63,121.17,144.19,104.67,91.95,49.54,32.68,33.34,33.7,14.87,5.17,4.76,38.34,244.81,93.03,96.27,92.75,79.25,46.45,32.82,32.0,43.63,15.42,4.43,20260330
41271,안산시 상록구,0,F,2.02,11.56,169.44,47.23,54.53,40.35,29.45,21.47,14.89,18.5,7.12,15.92,1.08,1.04,11.83,190.38,65.34,25.78,47.44,29.82,44.67,23.67,20.56,20.52,11.28,3.15,20260306
41271,안산시 상록구,0,F,2.24,38.03,210.26,78.45,112.2,77.21,53.55,28.28,40.73,30.73,34.61,16.66,1.42,4.7,32.03,232.42,109.73,64.78,83.17,62.91,42.51,24.75,23.93,32.98,18.92,7.91,20260326
41271,안산시 상록구,0,F,2.3,35.0,196.35,75.47,93.49,69.46,65.2,28.69,35.46,19.39,26.45,16.87,1.42,2.77,38.56,256.32,106.09,58.2,80.62,68.93,35.11,30.21,22.94,26.12,16.83,6.98,20260327
41271,안산시 상록구,0,F,2.35,33.45,193.57,108.13,104.34,84.21,76.59,44.29,31.03,32.79,27.67,17.5,7.52,2.77,42.93,249.43,123.51,65.81,87.62,65.91,55.01,39.68,26.15,32.44,20.39,3.28,20260331
41271,안산시 상록구,0,F,2.73,8.79,164.21,71.69,66.13,68.68,36.94,24.44,20.78,18.01,23.48,12.0,1.55,1.01,15.54,234.8,78.59,37.49,61.97,20.36,44.27,25.87,15.37,16.2,13.67,3.57,20260311
41271,안산시 상록구,0,F,2.73,9.82,169.98,65.91,71.03,57.08,46.99,28.12,30.54,15.5,17.57,4.61,2.15,4.19,18.26,200.15,90.91,29.53,78.08,39.49,33.72,28.22,22.99,17.0,14.14,6.09,20260313
41271,안산시 상록구,0,F,2.74,10.08,171.8,77.16,92.94,76.4,44.31,31.93,31.47,28.08,21.95,8.99,4.19,4.21,21.53,238.94,95.75,48.3,84.72,41.02,40.85,26.25,18.42,29.96,20.89,3.03,20260319
41271,안산시 상록구,0,F,2.74,20.94,176.01,70.34,95.44,65.46,77.68,42.87,32.61,16.84,16.2,12.27,7.6,4.31,20.03,228.28,81.85,54.83,60.42,58.22,36.96,41.64,24.25,34.45,18.92,2.53,20260317
41271,안산시 상록구,0,F,2.75,24.04,187.34,64.66,107.96,58.7,62.05,36.58,24.42,16.5,28.39,11.45,4.14,4.67,23.8,227.83,99.07,52.85,81.75,58.28,30.4,38.33,14.18,24.79,23.62,5.26,20260320
41271,안산시 상록구,0,F,2.77,34.18,204.08,84.03,108.09,72.94,71.12,33.6,34.82,21.13,29.68,20.73,1.49,3.94,41.92,247.43,88.29,50.01,76.37,64.54,46.28,22.79,28.41,37.76,12.59,5.6,20260328
41271,안산시 상록구,0,F,3.1,12.65,186.19,62.04,77.51,56.29,52.39,25.26,23.56,20.95,15.68,7.83,1.09,2.73,19.35,224.49,84.05,32.47,67.32,39.46,34.27,22.14,12.06,20.13,10.73,2.41,20260312
41271,안산시 상록구,0,F,3.85,14.39,211.69,60.87,77.9,77.24,67.84,35.33,21.16,15.59,13.95,12.05,4.26,3.1,17.37,202.01,98.77,41.6,78.62,48.22,40.66,22.81,25.07,28.79,13.76,7.74,20260315
41271,안산시 상록구,0,F,3.97,8.18,205.79,104.61,100.39,69.93,64.9,51.51,32.52,16.94,17.34,17.2,5.38,0.23,13.91,216.25,98.44,43.12,80.54,54.7,55.21,32.9,16.38,29.84,22.92,5.19,20260309
41271,안산시 상록구,0,F,4.29,29.65,252.23,84.33,110.43,99.7,86.28,46.24,31.8,26.2,28.43,16.85,5.09,4.7,23.86,245.93,96.87,71.4,71.45,53.64,61.73,29.28,20.5,41.78,14.83,7.53,20260323
41271,안산시 상록구,0,F,5.26,15.07,228.01,87.89,117.98,83.75,82.58,49.86,29.45,23.13,24.3,11.45,7.58,6.84,24.32,253.54,90.89,57.74,86.62,66.13,57.3,41.62,30.51,28.19,14.75,4.47,20260316
41271,안산시 상록구,0,F,5.5,8.24,167.02,67.07,84.29,69.38,37.68,50.42,33.18,22.03,13.73,13.0,2.74,0.0,12.81,151.1,64.98,30.62,60.89,49.47,26.23,22.53,16.98,17.09,13.13,1.29,20260303
41271,안산시 상록구,0,N,74.14,386.49,742.71,577.61,461.85,295.31,331.48,418.68,530.88,512.76,399.21,220.52,126.2,146.83,383.76,520.5,441.94,302.18,241.32,272.04,371.71,483.35,418.09,340.48,227.16,88.08,20260304
41271,안산시 상록구,0,N,75.47,491.77,910.05,645.94,452.77,337.07,438.71,427.58,553.16,561.12,410.86,290.71,135.23,123.93,447.63,638.53,413.19,322.25,236.51,307.99,361.34,490.63,476.02,410.01,210.39,103.17,20260311
41271,안산시 상록구,0,N,86.48,494.64,1005.17,811.61,620.22,446.48,503.34,511.15,662.09,618.91,525.87,387.53,145.71,109.71,440.36,689.11,477.2,366.36,264.81,310.04,391.61,558.11,548.12,488.98,273.46,141.06,20260314
41271,안산시 상록구,0,N,87.65,448.1,814.65,607.95,514.44,348.48,396.64,334.03,531.04,529.75,468.12,260.43,109.07,131.17,358.89,549.14,422.21,385.16,243.46,291.58,391.29,485.47,424.3,433.81,238.81,104.23,20260310
41271,안산시 상록구,0,N,87.76,466.98,951.55,718.11,583.57,422.16,456.98,514.38,608.4,617.82,570.67,416.86,154.71,176.05,461.8,629.48,535.7,385.8,332.49,323.61,433.6,577.28,559.33,498.34,338.42,150.0,20260324
41271,안산시 상록구,0,N,88.56,534.71,917.46,729.41,532.15,405.97,415.9,506.74,652.94,596.13,519.36,324.9,154.65,145.38,439.91,726.46,484.14,352.38,280.75,343.39,434.04,598.2,478.34,461.66,259.82,143.49,20260312
41271,안산시 상록구,0,N,90.46,522.81,902.16,768.19,665.24,454.61,517.58,501.57,634.64,664.45,606.88,357.78,176.47,186.11,482.63,731.89,499.07,436.55,271.08,347.45,499.74,669.83,499.17,511.76,337.76,168.5,20260326
41271,안산시 상록구,0,N,91.29,325.38,806.63,984.25,752.47,541.67,637.73,547.9,736.0,631.25,555.12,322.42,124.54,158.21,285.19,608.83,594.25,482.3,320.27,446.35,430.76,612.45,550.34,453.37,238.19,149.48,20260308
41271,안산시 상록구,0,N,91.62,472.91,825.71,650.8,501.81,374.34,375.52,366.59,551.15,512.35,479.77,229.81,120.89,147.06,402.46,613.82,426.41,295.37,201.53,306.5,387.74,493.09,409.95,373.6,217.21,108.49,20260306
41271,안산시 상록구,0,N,94.94,434.32,721.27,603.22,488.73,359.01,379.97,390.43,542.63,570.22,422.71,242.54,107.78,116.01,378.42,549.21,400.99,295.62,231.34,281.1,365.45,448.47,441.96,344.68,186.68,98.67,20260307
41271,안산시 상록구,0,N,97.23,470.38,918.74,744.14,575.42,407.06,479.48,433.59,644.51,596.47,540.14,395.95,149.64,177.04,412.15,662.06,508.29,421.32,270.23,323.07,389.45,545.68,523.38,462.47,294.23,140.94,20260317
41271,안산시 상록구,0,N,97.28,469.0,910.69,733.12,644.21,448.98,446.3,558.45,632.65,685.95,616.64,393.79,145.77,170.73,420.36,698.42,553.26,415.08,310.6,362.8,424.27,578.87,553.47,479.81,329.21,182.56,20260331
41271,안산시 상록구,0,N,98.77,555.84,983.35,716.67,618.97,461.48,551.87,514.75,673.7,644.45,532.08,403.69,160.46,152.3,469.33,727.03,498.85,411.22,325.79,331.59,472.58,628.22,513.79,529.34,274.44,170.06,20260320
41271,안산시 상록구,0,N,100.93,527.39,971.86,815.84,568.74,474.82,485.17,492.4,692.01,568.24,571.51,370.64,146.92,178.58,456.39,714.28,456.79,326.17,275.51,377.19,443.1,617.81,491.08,495.44,295.99,142.75,20260318
41271,안산시 상록구,0,N,101.93,411.41,761.98,618.93,432.71,361.91,346.35,416.49,446.22,522.54,426.8,246.07,117.19,137.67,389.9,612.41,417.64,297.51,239.23,258.61,345.57,489.66,416.03,348.88,209.85,85.63,20260305
41271,안산시 상록구,0,N,107.42,493.64,972.7,746.85,576.07,414.56,459.86,467.09,620.18,636.41,551.76,324.31,136.16,146.55,438.28,791.51,532.97,351.09,289.81,390.51,393.71,603.81,547.89,487.3,312.37,141.33,20260319
41271,안산시 상록구,0,N,109.05,546.05,1036.33,700.85,627.3,480.77,520.15,603.4,688.38,661.05,597.84,371.0,160.16,188.06,500.73,738.99,546.83,463.52,278.24,405.56,528.94,628.58,552.82,516.67,344.26,163.56,20260327
41271,안산시 상록구,0,N,110.78,540.66,954.32,740.68,604.77,466.19,483.25,523.57,659.87,605.24,596.76,364.71,138.29,190.41,482.61,809.9,535.48,429.22,264.15,351.99,462.53,618.46,527.6,487.8,322.09,165.54,20260325
41271,안산시 상록구,0,N,110.87,320.61,821.58,1052.88,820.49,502.66,557.47,500.74,648.95,655.0,477.54,273.3,107.94,160.75,226.31,509.31,660.69,491.14,371.33,477.71,448.47,606.69,454.56,408.03,246.17,104.77,20260301
41271,안산시 상록구,0,N,121.21,566.53,1009.61,781.29,724.0,488.12,540.19,581.18,754.47,710.34,649.51,381.64,159.59,179.7,499.62,798.8,543.72,472.23,289.59,410.87,502.92,630.66,557.63,519.47,351.47,150.0,20260321
41271,안산시 상록구,0,N,126.36,546.99,910.49,696.11,587.14,454.57,512.09,509.3,650.97,609.93,533.14,341.34,183.85,116.91,468.27,693.04,511.33,392.89,239.51,317.98,403.9,645.69,527.75,440.61,254.97,150.46,20260313
41271,안산시 상록구,0,N,128.59,472.02,1081.76,1114.32,885.61,605.12,580.15,594.32,809.38,781.21,647.58,384.47,147.6,157.61,372.42,798.29,795.3,596.61,393.24,490.51,515.72,718.51,587.23,562.68,292.99,161.17,20260315
41271,안산시 상록구,0,N,131.42,526.28,1032.98,776.4,633.98,453.84,579.34,535.38,676.77,749.85,629.23,410.5,188.45,144.5,442.37,752.58,504.98,422.22,311.53,382.94,452.38,618.63,546.06,517.52,311.4,155.95,20260328
41271,안산시 상록구,0,N,132.42,383.76,832.32,894.69,683.1,475.06,495.84,454.63,585.41,547.59,445.64,295.75,100.09,172.03,347.46,579.94,671.46,526.55,384.76,379.84,422.24,591.16,447.97,373.32,235.67,121.01,20260303
41271,안산시 상록구,0,N,133.21,360.34,810.82,1100.33,889.22,615.05,669.4,551.8,694.2,797.08,622.08,350.31,139.41,175.43,313.35,618.62,731.65,568.15,398.17,409.6,479.18,656.78,589.76,478.34,270.79,130.67,20260309
41271,안산시 상록구,0,N,142.23,486.95,1068.09,1060.05,861.52,577.78,606.95,635.01,811.38,759.15,670.8,383.36,157.82,166.06,381.06,720.82,751.02,581.92,387.76,400.39,576.09,710.42,548.04,571.17,370.93,157.93,20260322
41271,안산시 상록구,0,N,145.04,458.02,1021.19,1144.99,912.15,581.67,712.04,673.9,873.68,784.34,656.97,389.59,201.46,211.51,359.85,724.02,772.72,675.26,391.64,462.44,597.78,703.67,632.48,629.83,354.46,177.19,20260329
41271,안산시 상록구,0,N,156.25,373.54,785.52,1059.81,900.62,520.99,614.15,582.77,753.94,679.08,646.15,288.52,130.52,222.24,311.97,572.78,765.58,580.67,424.99,472.19,471.32,647.68,518.05,477.39,268.05,135.49,20260302
41271,안산시 상록구,0,N,174.81,413.75,995.52,1164.83,971.13,660.76,830.5,627.67,819.36,821.38,688.97,432.03,172.7,169.93,364.41,661.79,782.18,661.38,451.54,529.09,577.73,757.6,680.83,624.31,326.32,200.31,20260316
41271,안산시 상록구,0,N,191.79,426.49,963.14,1126.79,1043.16,635.34,738.31,662.5,836.26,781.48,715.98,443.56,160.59,231.07,377.55,734.96,795.76,670.38,487.17,587.49,564.04,697.34,674.49,579.63,389.41,152.77,20260323
41271,안산시 상록구,0,N,202.15,446.7,1078.33,1200.9,1012.83,687.22,772.47,700.85,841.77,849.58,716.53,428.54,167.12,235.3,346.03,757.48,821.78,717.04,456.06,529.39,530.27,745.73,599.67,646.6,348.46,194.69,20260330
41271,안산시 상록구,1,F,0.0,3.61,110.55,41.72,36.99,32.84,38.84,31.03,7.9,14.01,15.18,7.08,1.99,1.0,9.9,85.79,26.54,26.48,43.92,31.94,31.3,14.45,13.78,16.02,12.65,1.01,20260301
41271,안산시 상록구,1,F,0.98,10.51,166.52,49.97,61.44,44.73,24.29,23.52,11.58,21.55,12.84,11.77,1.03,0.0,16.23,184.37,65.95,15.6,32.57,23.49,33.98,19.05,14.11,18.15,15.86,2.13,20260305
41271,안산시 상록구,1,F,0.98,15.37,160.18,44.2,66.82,43.53,34.27,20.94,14.96,17.63,15.66,13.7,3.98,0.0,17.16,164.71,61.65,30.35,33.47,20.15,23.32,20.39,9.07,19.18,11.75,2.14,20260304
41271,안산시 상록구,1,F,1.01,8.8,165.42,60.16,63.77,78.91,34.32,25.59,20.89,17.51,25.73,14.03,1.46,1.01,16.14,223.72,73.32,37.44,67.58,23.8,46.67,25.46,16.02,18.53,13.67,3.58,20260311
41271,안산시 상록구,1,F,1.01,9.17,202.03,70.84,69.5,70.39,34.44,47.56,21.1,12.58,10.52,9.17,6.05,1.07,19.56,207.13,71.74,47.98,64.18,38.55,32.89,25.7,10.28,18.17,16.39,3.27,20260308
41271,안산시 상록구,1,F,1.01,10.86,172.16,72.97,76.81,71.98,49.14,34.8,31.77,15.25,21.03,13.15,5.33,4.21,20.35,223.68,81.26,49.27,69.29,42.16,41.43,31.1,25.07,25.78,15.79,6.34,20260318
41271,안산시 상록구,1,F,1.01,11.72,155.97,45.57,58.62,50.92,42.37,27.1,23.83,14.47,18.84,10.68,4.11,3.1,15.32,183.7,72.83,21.96,51.61,31.7,24.76,13.51,23.25,20.21,9.3,2.65,20260314
41271,안산시 상록구,1,F,1.01,12.36,172.72,77.45,80.44,60.04,38.88,37.57,24.17,12.15,22.63,12.94,5.31,1.01,15.16,214.2,98.04,33.42,61.16,36.55,24.26,28.07,18.34,18.38,17.48,4.33,20260310
41271,안산시 상록구,1,F,1.01,19.17,152.01,77.07,105.74,91.22,57.9,47.97,30.56,21.96,14.84,13.82,2.5,0.0,13.39,120.04,61.95,49.47,56.21,36.3,38.26,25.04,22.29,17.52,9.95,3.78,20260302
41271,안산시 상록구,1,F,1.06,22.42,201.86,77.71,79.62,74.31,63.13,34.6,35.98,24.24,15.26,18.15,4.34,5.5,25.71,247.88,91.88,69.16,77.5,43.19,44.76,26.65,15.38,31.33,19.14,6.65,20260321
41271,안산시 상록구,1,F,1.09,21.49,192.67,74.46,107.83,82.7,61.83,41.11,34.45,21.11,23.06,15.78,4.35,4.23,25.13,240.5,99.94,65.2,79.27,47.1,41.92,24.2,13.7,35.69,20.2,5.68,20260322
41271,안산시 상록구,1,F,1.09,25.09,200.75,85.08,98.38,76.88,76.73,29.46,35.23,26.92,30.55,16.3,1.12,4.22,33.72,248.87,84.9,58.47,72.94,69.67,35.51,32.48,17.87,31.9,15.82,4.37,20260324
41271,안산시 상록구,1,F,1.09,26.06,201.98,71.74,83.0,60.23,59.81,33.99,33.41,20.74,26.76,17.44,1.39,3.56,36.08,252.06,101.29,61.15,59.09,58.16,38.16,20.02,19.01,31.94,16.89,9.41,20260325
41271,안산시 상록구,1,F,1.16,12.72,154.73,56.25,68.42,58.96,36.24,31.11,20.6,14.71,16.38,7.81,2.54,1.0,21.84,206.71,64.81,26.13,35.42,37.46,28.67,23.23,14.88,25.99,18.49,6.05,20260307
41271,안산시 상록구,1,F,1.16,31.43,203.97,99.92,87.53,66.6,72.61,38.99,37.36,27.5,27.43,20.95,4.42,3.6,39.59,266.35,109.4,64.33,79.47,72.07,53.55,24.25,12.71,41.63,19.1,5.61,20260329
41271,안산시 상록구,1,F,1.16,33.5,212.84,118.25,146.23,105.56,93.47,52.42,26.83,33.79,35.66,14.86,8.17,4.76,40.93,256.05,96.58,92.39,91.89,78.98,51.04,31.45,34.29,36.99,20.27,3.95,20260330
41271,안산시 상록구,1,F,2.02,11.25,174.01,46.36,52.31,43.73,30.41,21.22,14.89,20.75,7.45,16.15,1.08,1.04,13.97,194.34,72.42,18.73,46.79,30.46,45.16,22.59,16.56,20.56,10.98,3.15,20260306
41271,안산시 상록구,1,F,2.24,33.8,214.52,84.94,112.24,82.81,56.78,28.47,36.47,30.11,31.7,16.39,1.42,4.7,37.07,243.88,111.28,59.01,71.56,62.3,41.11,24.56,23.67,36.03,20.89,7.59,20260326
41271,안산시 상록구,1,F,2.3,32.77,210.23,90.29,86.4,79.51,60.76,26.14,32.46,19.35,26.15,18.62,1.42,2.77,40.85,256.21,111.72,58.1,78.2,66.25,35.2,32.26,20.86,26.09,14.16,6.98,20260327
41271,안산시 상록구,1,F,2.35,31.74,189.69,110.23,108.83,90.28,77.41,41.36,33.2,32.4,30.92,17.0,4.46,2.77,47.66,257.6,120.13,68.61,82.57,70.1,49.18,35.27,22.67,32.0,17.94,2.86,20260331
41271,안산시 상록구,1,F,2.73,9.09,169.09,67.49,67.09,62.83,46.67,30.98,31.25,18.57,17.51,7.16,2.15,3.1,18.26,222.64,100.39,29.7,73.89,40.74,33.63,29.88,23.58,17.12,18.1,5.38,20260313
41271,안산시 상록구,1,F,2.74,9.67,174.33,77.15,87.71,67.82,43.21,29.35,34.03,26.39,22.6,11.55,4.19,3.1,21.14,246.92,95.43,53.54,72.65,41.0,37.8,25.14,18.01,31.54,21.75,2.62,20260319
41271,안산시 상록구,1,F,2.74,13.92,165.41,73.86,101.81,69.16,77.26,36.17,33.66,18.93,16.46,12.27,7.62,4.31,23.14,231.71,86.86,51.81,55.1,57.36,36.45,36.14,24.71,37.53,21.89,2.53,20260317
41271,안산시 상록구,1,F,2.75,23.74,193.19,70.46,101.32,66.09,61.12,31.63,24.53,16.63,29.81,14.13,4.14,4.67,27.82,242.33,96.94,56.78,76.54,65.48,33.78,39.21,13.69,21.35,24.59,5.17,20260320
41271,안산시 상록구,1,F,2.77,33.17,195.69,82.06,109.18,73.95,69.57,30.33,35.64,23.93,29.63,20.99,1.49,4.14,38.72,246.65,96.95,57.76,71.78,66.42,43.15,27.21,28.15,38.76,12.59,5.1,20260328
41271,안산시 상록구,1,F,3.1,13.67,191.99,63.55,77.48,65.67,49.75,22.98,21.59,17.26,16.38,8.84,1.09,3.1,14.82,230.39,79.34,30.54,63.62,37.28,35.12,24.61,11.95,19.54,10.33,3.42,20260312
41271,안산시 상록구,1,F,3.18,9.82,176.83,74.86,81.17,70.03,28.31,48.19,28.1,22.8,13.74,13.04,2.74,0.0,16.66,163.27,63.33,31.61,54.19,44.83,28.65,18.27,18.73,16.08,13.01,2.81,20260303
41271,안산시 상록구,1,F,3.34,30.19,273.0,88.69,112.89,104.64,88.68,48.87,35.52,27.86,27.27,18.24,5.03,3.56,28.05,252.34,99.28,71.73,78.98,51.7,62.6,34.6,18.39,36.74,15.82,7.35,20260323
41271,안산시 상록구,1,F,3.81,16.17,204.13,102.49,107.53,78.33,63.8,44.83,28.14,13.2,14.05,12.62,7.86,0.21,13.43,204.95,92.26,48.22,78.07,46.25,46.03,30.84,15.29,25.98,22.37,5.16,20260309
41271,안산시 상록구,1,F,3.85,15.35,215.68,72.89,80.18,79.22,66.62,32.99,23.82,15.11,13.72,14.42,4.2,3.1,19.52,214.3,91.24,41.71,69.04,49.27,42.12,30.1,21.27,27.87,13.54,7.87,20260315
41271,안산시 상록구,1,F,5.26,14.29,218.91,93.92,118.27,84.74,88.55,48.22,25.6,21.67,23.94,11.44,7.49,5.42,24.49,250.59,101.26,56.34,90.68,69.18,51.64,41.61,30.92,27.52,14.39,4.1,20260316
41271,안산시 상록구,1,N,70.8,379.41,718.97,549.15,430.01,293.4,317.96,417.82,530.94,488.66,365.67,219.94,122.78,148.52,385.65,507.63,431.16,281.83,233.45,254.77,336.65,451.82,428.03,348.32,234.71,94.8,20260304
41271,안산시 상록구,1,N,77.77,502.76,889.96,622.72,437.08,336.87,438.71,395.53,545.02,522.91,422.61,301.69,132.45,123.74,450.0,620.66,400.98,318.19,216.08,284.76,352.9,476.97,454.91,397.93,203.67,105.9,20260311
41271,안산시 상록구,1,N,80.09,392.62,726.57,588.3,433.35,360.81,380.49,373.89,513.35,484.74,408.01,314.98,126.92,107.39,378.12,527.28,360.33,288.85,218.88,237.22,310.51,447.65,450.63,400.99,229.94,115.98,20260314
41271,안산시 상록구,1,N,90.14,463.17,892.06,746.71,638.73,431.67,451.35,526.92,632.97,684.58,619.38,398.61,149.57,181.62,416.21,688.47,565.08,412.71,300.56,361.21,406.01,573.89,541.43,483.73,331.34,178.46,20260331
41271,안산시 상록구,1,N,94.46,523.99,824.66,734.15,634.69,441.99,526.87,499.16,651.42,640.26,598.65,368.27,181.63,185.57,464.79,696.03,485.66,431.74,264.97,339.44,485.6,634.68,483.77,486.34,335.53,171.83,20260326
41271,안산시 상록구,1,N,94.48,442.66,783.19,579.26,460.72,326.81,391.13,333.87,527.13,512.95,431.5,253.53,106.33,137.83,348.1,568.17,404.84,384.31,257.95,284.09,360.86,456.71,427.19,436.93,246.12,105.03,20260310
41271,안산시 상록구,1,N,95.19,469.94,820.82,613.74,458.37,355.59,353.68,351.47,509.74,486.83,436.37,240.69,119.12,162.49,403.8,591.27,401.7,289.18,185.9,280.34,347.55,468.66,374.25,366.5,220.19,104.79,20260306
41271,안산시 상록구,1,N,95.37,529.33,904.01,681.27,513.68,378.03,412.32,452.03,649.89,558.88,506.18,332.83,157.8,144.92,439.08,698.19,462.34,322.42,285.01,314.64,396.93,587.51,453.68,455.51,258.34,135.55,20260312
41271,안산시 상록구,1,N,96.99,323.01,763.49,954.89,726.84,523.82,562.95,519.06,684.0,605.47,527.63,312.6,137.6,154.15,280.14,585.02,559.34,462.16,313.46,445.21,394.04,533.76,515.55,441.48,226.93,127.76,20260308
41271,안산시 상록구,1,N,97.97,464.99,928.12,697.92,542.59,421.46,455.37,507.89,601.24,602.01,525.66,403.11,151.9,175.81,447.06,635.0,544.35,403.36,322.92,316.7,422.88,585.21,543.54,491.3,334.82,149.08,20260324
41271,안산시 상록구,1,N,101.87,449.38,711.95,614.78,466.91,369.76,410.65,349.09,512.77,545.07,424.05,254.22,116.04,138.48,390.57,560.43,404.4,296.35,243.38,282.75,367.7,446.57,451.17,369.49,199.86,96.78,20260307
41271,안산시 상록구,1,N,101.9,469.39,901.08,708.96,548.94,365.51,476.09,434.71,638.95,589.99,522.05,403.59,139.7,176.01,424.29,646.22,508.64,402.39,261.37,325.06,380.51,545.39,513.98,459.08,299.76,140.13,20260317
41271,안산시 상록구,1,N,108.17,403.14,754.92,575.25,421.38,332.75,325.87,435.39,439.69,521.85,400.37,246.45,114.53,153.7,401.08,577.56,383.31,285.86,233.37,255.89,348.75,448.43,399.81,351.6,209.18,95.77,20260305
41271,안산시 상록구,1,N,109.6,523.9,960.27,743.23,555.36,424.83,505.51,487.09,646.02,550.32,558.51,374.36,167.14,178.0,469.26,758.73,449.59,329.89,270.91,392.02,423.24,589.65,490.2,497.52,292.05,139.94,20260318
41271,안산시 상록구,1,N,109.87,507.78,966.9,708.45,551.12,407.61,484.84,458.5,605.77,618.8,549.34,340.46,138.82,157.35,450.74,783.67,528.65,346.8,290.7,376.64,383.51,573.25,535.23,479.41,301.6,138.16,20260319
41271,안산시 상록구,1,N,110.32,533.44,998.46,731.23,564.41,429.0,508.96,479.16,649.37,592.63,523.76,395.87,168.81,152.9,473.81,743.99,482.85,403.94,322.2,321.98,436.58,618.92,512.43,543.39,282.09,167.64,20260320
41271,안산시 상록구,1,N,110.47,320.38,796.72,974.81,758.95,439.7,529.73,491.43,620.27,620.93,502.12,267.68,106.25,154.0,228.93,480.14,592.74,442.02,346.09,421.54,408.65,574.94,412.8,391.13,238.37,96.79,20260301
41271,안산시 상록구,1,N,112.09,521.83,1010.4,647.77,565.49,454.99,507.26,561.6,682.36,637.67,577.84,360.03,155.42,201.16,464.03,720.83,524.67,445.77,282.8,388.52,485.47,616.0,518.2,507.22,326.47,165.64,20260327
